Sennheiser HD 485;Headphones;;0001;;Belafonte 1.1;
Sennheiser HD 485;Headphones;;0002;;Belafonte 1.1;
Sennheiser HD 570;Headphones;;0003;;Belafonte 1.1;
Sennheiser HD 200;Headphones;;0004;;Belafonte 1.1;
Sennheiser HD 25-1;Headphones;;0005;;Belafonte 1.1;
Sennheiser HD 437;Headphones;;0006;;Belafonte 1.1;
Plantronics;Headset;;0007;;;
Plantronics Audio 500;Headset;Disintegrated ear pads;0008;;Belafonte 1.1;
Logictech Dialog 220;Headphones;;0009;;Belafonte 1.1;
Plantronics Audio 655 DSP;Headset;;0010;;Belafonte 1.1;
Plantronics Audio 655 DSP;Headset;;0011;;Belafonte 1.1;
Sennheiser HD 437;Headphones;;0012;;Belafonte 1.1;
Sennheiser HD 280;Headphones;;0013;;Belafonte 1.1;
Shure WH20;Microphone;Hands free microphone;0015;;Belafonte 1.2;
Shure WH20;Microphone;;0015;;Belafonte 1.2;
Sony MDR-RF800R;Headphones;Wireless Headphones;0016;;Belafonte 1.1;
Sony TMD-RF800R;Headphones;Sending Station for wireless Headphones;0016;1113928;Belafonte 1.1;
Attachable Microphone;Microphone;Small attachable microphone;0017;;Belafonte 1.2;
Roland EDIROL UA 25EX;Audio Interface;USB Audio Capture;0018;CZ80860;Belafonte 1.1;
Cincon Electronics AC Adapter;Accessories;Power supply (???);0019;;Belafonte 1.3;
RME HDSP I/O PCMCIA;Audio Interface;PCMCIA card for RME Hammerfall DSP System;0020;22536175;Belafonte 1.2;
RME HDSP I/O PCMCIA;Audio Interface;PCMCIA card for RME Hammerfall DSP System;0021;22448947;Belafonte 1.2;
Behringer UCA 200;Audio Interface;;0022;S0887240496;Belafonte 1.2;
Logictech 860;Headset;;0023;.02184;Belafonte 1.1;
Beyerdynamic MPC 65V;Microphone;Pressure zone microphone (Grenzflächenmikrofon);0024;23704;Belafonte 1.2;
Zoom H4n;Recording Device;Mobile stereo recorder;0025;319206;Belafonte 1.2;
Roland EDIROL UA 25EX;Audio Interface;USB Audio Capture;0026;CZ80819;Belafonte 1.1;
RME Multiface II;Audio Interface;;0027;22472654;Belafonte 1.2;
Sennheiser HD 25-1;Headphones;;0028;;Belafonte 1.1;
RME Multiface II;Audio Interface;;0029;22475010;Belafonte 1.2;
Adaptertech;Accessories;Power supply Quadmix, Multiface etc.;0030;;Belafonte 1.3;
